Track Name,Artist,Album,Release Date,Label
WHERE SHE GOES,Bad Bunny,WHERE SHE GOES,2023-05-18,Rimas Entertainment LLC
Kill Bill,SZA,SOS,2022-12-08,Top Dawg Entertainment/RCA Records
Calm Down (with Selena Gomez),Rema,Calm Down (with Selena Gomez),2022-08-25,Mavin Records / Jonzing World
Flowers,Miley Cyrus,Flowers,2023-01-13,Columbia
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),Beyoncé,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),2023-05-19,Parkwood Entertainment/Columbia
Boy's a Liar Pt. 2,PinkPantheress,Boy's a liar Pt. 2,2023-02-03,Warner Records
Cupid - Twin Ver.,FIFTY FIFTY,The Beginning: Cupid,2023-02-24,WM Korea
Die For You - Remix,The Weeknd,Die For You (Remix),2023-02-24,XO / Republic Records
As It Was,Harry Styles,As It Was,2022-03-31,Columbia
Daylight,David Kushner,Daylight,2023-04-14,"Miserable Music Group, LLC"
People,Libianca,People,2022-12-06,5K Records Limited
Chemical,Post Malone,Chemical,2023-04-14,Mercury Records/Republic Records
Escapism.,RAYE,My 21st Century Blues,2023-02-03,Human Re Sources
Ella Baila Sola,Eslabon Armado,Ella Baila Sola,2023-03-16,DEL Records
Eyes Closed,Ed Sheeran,Eyes Closed,2023-03-24,Atlantic Records UK
Never Felt So Alone,Labrinth,Never Felt So Alone,2023-04-07,Columbia
Players,Coi Leray,Players,2022-11-30,Uptown / Republic Records
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,HEROES & VILLAINS,2022-12-02,Republic Records
All My Life (feat. J. Cole),Lil Durk,All My Life (feat. J. Cole),2023-05-12,Alamo
Anti-Hero,Taylor Swift,Midnights,2022-10-21,Taylor Swift
Baby Don't Hurt Me,David Guetta,Baby Don't Hurt Me,2023-04-06,Parlophone UK
Miracle (with Ellie Goulding),Calvin Harris,Miracle (with Ellie Goulding),2023-03-10,Columbia
golden hour,JVKE,this is what ____ feels like (Vol. 1-4),2022-09-23,JVKE
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,Until I Found You (Em Beihold Version),2022-04-22,Republic Records
Curtains,Ed Sheeran,- (Deluxe),2023-05-05,Atlantic Records UK
CUFF IT,Beyoncé,RENAISSANCE,2022-07-29,Parkwood Entertainment/Columbia
BESO,ROSALÍA,RR,2023-03-24,Columbia Records/Duars Entertainment/Sony Music Latin
Snooze,SZA,SOS,2022-12-09,Top Dawg Entertainment/RCA Records
Wish You The Best,Lewis Capaldi,Wish You The Best EP,2023-05-12,Vertigo Berlin
ceilings,Lizzy McAlpine,five seconds flat,2022-04-08,Harbour Artists & Music
I Ain't Worried,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",2022-05-13,Interscope Records
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)",Kodak Black,"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long / FAST X Soundtrack)",2023-05-18,APG Inc – FF10
Here With Me,d4vd,Here With Me,2022-09-22,Darkroom/Interscope Records
Moonlight,Kali Uchis,Moonlight,2023-02-24,Geffen Records
Karma,Taylor Swift,Midnights,2022-10-21,Taylor Swift
OMG,NewJeans,NewJeans 'OMG',2023-01-02,ADOR
Tattoo,Loreen,Tattoo,2023-02-25,Universal Music AB
Unholy (feat. Kim Petras),Sam Smith,Unholy (feat. Kim Petras),2022-09-22,Capitol Records UK / EMI
Nonsense,Sabrina Carpenter,emails i can't send,2022-07-15,Island Records
I'm Good (Blue),David Guetta,I'm Good (Blue),2022-08-26,Parlophone UK
La Bebe - Remix,Yng Lvcas,La Bebe (Remix),2023-03-17,WM Mexico
Bad Habit,Steve Lacy,Bad Habit,2022-06-29,L-M Records/RCA Records
Search & Rescue,Drake,Search & Rescue,2023-04-07,OVO/Republic Records
Bones,Imagine Dragons,Bones,2022-03-11,KIDinaKORNER/Interscope Records
If We Ever Broke Up,Mae Stephens,If We Ever Broke Up,2023-02-10,EMI
Princess Diana (with Nicki Minaj),Ice Spice,Princess Diana (with Nicki Minaj),2023-04-14,10K Projects/Capitol Records
Just Wanna Rock,Lil Uzi Vert,Just Wanna Rock,2022-10-17,Generation Now/Atlantic
un x100to,Grupo Frontera,un x100to,2023-04-17,Rimas Entertainment LLC.
Last Night,Morgan Wallen,3 Songs At A Time Sampler,2023-01-31,Big Loud Records / Mercury Records / Republic Records
Made You Look,Meghan Trainor,Takin' It Back,2022-10-21,Epic
